date,title,artist,peak_pos,last_pos,weeks,rank,genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/18,KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,0,1,73,"['hip hop', 'pop', 'pop rap', 'rap']",0.597,0.195,100.051,0.037000000000000005,0.33899999999999997,0.0404,4.0,0.585,0.0,324674.0,-7.499,0.22699999999999998,1.0
6/21/18,KOD,J. Cole,10,60,8,65,"['conscious hip hop', 'pop', 'pop rap', 'rap']",0.782,0.113,141.869,0.15,0.21,0.0,4.0,0.831,0.0,191437.0,-6.274,0.19899999999999998,1.0
6/21/18,Lose It,Kane Brown,84,0,1,84,"['contemporary country', 'country road']",0.8690000000000001,0.29,91.988,0.0289,0.0026100000000000003,1.77e-06,4.0,0.5489999999999999,4.0,178733.0,-4.905,0.433,0.0
6/21/18,Lucid Dreams,Juice WRLD,6,9,5,6,['rap'],0.5660000000000001,0.34,83.90299999999999,0.2,0.349,0.0,4.0,0.511,6.0,239836.0,-7.23,0.218,0.0
6/21/18,Mercy,Brett Young,63,74,6,63,['contemporary country'],0.36700000000000005,0.0999,71.957,0.0266,0.84,0.0,4.0,0.638,4.0,217120.0,-7.906000000000001,0.21899999999999997,1.0
6/21/18,Mine,Bazzi,11,23,21,15,"['pop', 'post-teen pop']",0.789,0.451,142.929,0.0722,0.0161,2.77e-06,4.0,0.71,4.0,131064.0,-3.8739999999999997,0.7170000000000001,1.0
6/21/18,Never Be The Same,Camila Cabello,6,18,26,19,"['dance pop', 'pop', 'post-teen pop']",0.713,0.13699999999999998,129.923,0.0747,0.18100000000000002,0.000637,4.0,0.637,0.0,226973.0,-4.333,0.243,1.0
6/21/18,New Rules,Dua Lipa,6,40,46,35,['pop'],0.7,0.153,116.073,0.0694,0.0026100000000000003,1.56e-05,4.0,0.762,9.0,209320.0,-6.021,0.608,0.0
6/21/18,Nice For What,Drake,1,2,10,1,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.9129999999999999,0.114,93.35,0.0736,0.0934,0.000124,4.0,0.5670000000000001,8.0,210926.0,-6.471,0.792,1.0
6/21/18,No Tears Left To Cry,Ariana Grande,3,13,8,9,"['dance pop', 'pop', 'post-teen pop']",0.696,0.27399999999999997,121.969,0.0529,0.0375,5.65e-06,4.0,0.703,0.0,205947.0,-5.482,0.366,1.0
6/21/18,One Number Away,Luke Combs,34,45,13,45,"['contemporary country', 'country road']",0.7809999999999999,0.191,144.075,0.0311,0.00585,0.0,4.0,0.544,6.0,221800.0,-6.16,0.527,0.0
6/21/18,Overdose,YoungBoy Never Broke Again,42,72,7,77,['trap music'],0.845,0.638,90.015,0.35200000000000004,0.22399999999999998,0.0,4.0,0.809,10.0,176990.0,-5.843,0.67,0.0
6/21/18,Perfect,Ed Sheeran,1,21,42,17,['pop'],0.299,0.12300000000000001,94.992,0.0263,0.779,0.0,3.0,0.5870000000000001,8.0,259550.0,-7.365,0.35600000000000004,1.0
6/21/18,Plug Walk,Rich The Kid,13,35,18,33,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.5870000000000001,0.11800000000000001,94.978,0.262,0.15,0.0,4.0,0.9229999999999999,11.0,276659.0,-6.401,0.27,1.0
6/21/18,Reborn,KIDS SEE GHOSTS,39,0,1,39,"['hip hop', 'pop', 'pop rap', 'rap']",0.597,0.195,100.051,0.037000000000000005,0.33899999999999997,0.0404,4.0,0.585,0.0,324674.0,-7.499,0.22699999999999998,1.0
6/21/18,Sad!,XXXTENTACION,7,51,15,52,[''],0.613,0.12300000000000001,75.023,0.145,0.258,0.00372,4.0,0.74,8.0,166606.0,-4.88,0.473,1.0
6/21/18,Simple,Florida Georgia Line,55,55,2,57,"['contemporary country', 'country road', 'modern country rock']",0.889,0.136,199.669,0.0991,0.0848,0.0,4.0,0.375,3.0,185200.0,-3.7039999999999997,0.8809999999999999,1.0
6/21/18,Singles You Up,Jordan Davis,50,95,19,98,"['contemporary country', 'country road']",0.907,0.242,199.94299999999998,0.0481,0.0491,0.0,4.0,0.491,7.0,182667.0,-3.594,0.631,1.0
6/21/18,Sit Next To Me,Foster The People,56,64,13,56,"['indie pop', 'indietronica', 'la indie', 'modern rock']",0.738,0.6890000000000001,97.021,0.0292,0.11699999999999999,0.000384,4.0,0.638,6.0,243147.0,-4.976,0.657,0.0
6/21/18,Tequila,Dan + Shay,32,41,14,32,['contemporary country'],0.594,0.133,86.131,0.0289,0.0292,0.0,4.0,0.474,11.0,195987.0,-5.756,0.503,1.0
6/21/18,This Is America,Childish Gambino,1,7,6,12,"['hip hop', 'pop rap', 'rap']",0.46299999999999997,0.354,120.024,0.13699999999999998,0.11699999999999999,0.0,4.0,0.8540000000000001,5.0,225773.0,-6.159,0.5489999999999999,1.0
6/21/18,Violent Crimes,Kanye West,27,27,2,85,"['pop rap', 'rap']",0.41700000000000004,0.18600000000000003,110.111,0.524,0.374,0.0,4.0,0.665,1.0,215320.0,-6.731,0.04,0.0
6/21/18,Wait,Maroon 5,24,26,22,29,['pop'],0.603,0.107,126.088,0.0555,0.0959,0.0,4.0,0.655,8.0,190643.0,-5.013999999999999,0.452,1.0
6/21/18,Whatever It Takes,Imagine Dragons,12,22,20,21,"['modern rock', 'vegas indie']",0.655,0.11699999999999999,134.945,0.0311,0.0362,0.0,4.0,0.672,10.0,201240.0,-5.021,0.556,0.0
6/21/18,"Woman, Amen",Dierks Bentley,53,69,10,53,"['contemporary country', 'country', 'country road']",0.772,0.214,119.90899999999999,0.0593,0.00101,1.95e-05,4.0,0.563,5.0,180243.0,-6.737,0.39399999999999996,1.0
6/21/18,Yikes,Kanye West,8,8,2,40,"['pop rap', 'rap']",0.777,0.228,173.93099999999998,0.35700000000000004,0.145,0.0,4.0,0.6759999999999999,1.0,188773.0,-3.241,0.226,0.0
6/21/18,You Make It Easy,Jason Aldean,28,62,20,61,"['contemporary country', 'country', 'country road']",0.574,0.11,132.025,0.0315,0.14300000000000002,0.0,3.0,0.375,7.0,196800.0,-5.305,0.406,1.0
6/21/18,Youngblood,5 Seconds Of Summer,79,96,2,79,"['boy band', 'pop', 'post-teen pop']",0.8540000000000001,0.124,120.274,0.46299999999999997,0.0169,0.0,4.0,0.596,7.0,203418.0,-5.114,0.152,0.0
6/21/18,Zombie,Bad Wolves,54,82,14,82,['alternative metal'],0.826,0.11699999999999999,77.093,0.0319,0.007559999999999999,0.0,4.0,0.44799999999999995,2.0,254805.0,-3.2439999999999998,0.19,0.0
6/16/18,Africa,Weezer,89,0,1,89,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",0.77,0.10400000000000001,92.223,0.0432,0.23800000000000002,0.00636,4.0,0.5,8.0,238148.0,-5.059,0.633,1.0
6/16/18,I Thought About Killing You,Kanye West,28,0,1,28,"['pop rap', 'rap']",0.40700000000000003,0.0541,116.064,0.426,0.8220000000000001,0.0,4.0,0.742,2.0,274187.0,-6.938,0.39,1.0
6/16/18,Lust,Lil Skies,87,87,4,93,['trap music'],0.767,0.114,160.084,0.166,0.138,0.0,4.0,0.718,9.0,156000.0,-5.641,0.519,1.0
6/16/18,Must've Never Met You,Luke Combs,81,0,1,81,"['contemporary country', 'country road']",0.892,0.14300000000000002,75.218,0.0566,0.00951,0.0,4.0,0.455,6.0,198880.0,-3.218,0.6409999999999999,1.0
6/16/18,No Mistakes,Kanye West,36,0,1,36,"['pop rap', 'rap']",0.643,0.109,80.025,0.0625,0.039,0.0,4.0,0.64,10.0,123040.0,-2.4419999999999997,0.335,0.0
6/16/18,Paranoid,Post Malone,11,83,6,94,"['pop', 'rap']",0.5539999999999999,0.166,159.85,0.13699999999999998,0.0379,3.84e-05,4.0,0.61,0.0,221787.0,-5.501,0.244,1.0
6/16/18,Rich & Sad,Post Malone,14,79,6,88,"['pop', 'rap']",0.59,0.0942,151.952,0.0569,0.18600000000000003,0.0,4.0,0.601,2.0,206453.0,-5.001,0.27399999999999997,1.0
6/9/18,For The First Time,Darius Rucker,58,58,10,81,"['contemporary country', 'country', 'country road', 'modern country rock']",0.804,0.0308,142.016,0.0361,0.007379999999999999,0.0,4.0,0.547,6.0,197053.0,-5.268,0.6659999999999999,1.0
